Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT00005","AAGAB","15","Alpha And Gamma Adaptin Binding Protein","None","ENSG00000103591","None","0.0382062","0.0599082","1.0","By_ingredient","0.1918"
"SMTT00008","AARS2","6","Alanyl-tRNA Synthetase 2, Mitochondrial","Alanine--tRNA Ligase, Mitochondrial","ENSG00000124608","Q5JTZ9","0.0119665","0.0502456","1.0","By_ingredient","0.3843"
"SMTT00010","ABAT","16","4-aminobutyrate Aminotransferase","4-aminobutyrate Aminotransferase, Mitochondrial","ENSG00000183044","P80404","0.00242664","0.0132044","1.0","By_ingredient","1.1432"
"SMTT00022","ABCC1","None","ATP binding cassette subfamily C member 1","Multidrug Resistance-associated Protein 1","ENSG00000103222","P33527","0.0567599","0.0796918","1.0","By_ingredient","0.3673"
"SMTT00032","ABCG2","None","ATP binding cassette subfamily G member 2 (Junior blood group)","ATP-binding Cassette Sub-family G Member 2","ENSG00000118777","Q9UNQ0","0.110306","0.135612","1.0","By_ingredient","0.1413"
"SMTT00038","ACACA","17","Acetyl-CoA Carboxylase Alpha","Acetyl-CoA Carboxylase 1","ENSG00000278540","Q13085","0.00357049","0.0160937","1.0","By_ingredient","0.3449"
"SMTT00043","ACADSB","10","Acyl-CoA Dehydrogenase Short/branched Chain","Short/branched Chain Specific Acyl-CoA Dehydrogenase, Mitochondrial","ENSG00000196177","P45954","0.00715914","0.0417651","1.0","By_ingredient","0.3312"
"SMTT00049","ACE","17","Angiotensin I Converting Enzyme","Angiotensin-converting Enzyme","ENSG00000159640","P12821","0.0749565","0.0989567","1.0","By_ingredient","0.1688"
"SMTT00051","ACHE","None","acetylcholinesterase (Cartwright blood group)","Acetylcholinesterase","ENSG00000087085","P22303","0.0","1.9478e-42","4.28377e-41","By_ingredient","25.6634"
"SMTT00056","ACPP","None","acid phosphatase, prostate","Prostatic Acid Phosphatase","ENSG00000014257","P15309","0.127472","0.153202","1.0","By_ingredient","0.1774"
